,순위,상품명,브랜드명,평점,조회수,좋아요 수,구매후기 수,누적판매량
128,0.9715492331629251,링클 프리 베이직 셔츠_WHITE,시티브리즈,4.8,32000.0,21424,1938,4600.0
129,0.9713269615470105,빅 트위치 루즈핏 후드 네이비,리,4.9,35000.0,88428,8314,19000.0
130,0.9711046899310958,[프렌치테리] 하프집업 스웨트셔츠_SPMWD23U03,스파오,4.9,18000.0,2143,220,1600.0
131,0.9708824183151812,오버핏 그래피티 로고 후디-블랙,필루미네이트,4.8,50000.0,10366,208,2000.0
132,0.9706601466992665,커스텀핏 옥스포드 셔츠 - 블루,폴로 랄프 로렌,4.9,8200.0,10775,1505,3000.0
133,0.9704378750833519,자이언트 피브비 스웻셔츠,피브비,4.9,1600.0,91,37,50.0
134,0.9702156034674372,BOAT NECK NEW CLASSIC SWEATSHIRT NAVY,노앙,5.0,1600.0,62,5,50.0
135,0.9699933318515226,화란 세미오버 니트 블랙,엘무드,4.9,57000.0,33949,24884,19000.0
136,0.9697710602356079,LAUNDRY SHIRT (WHITE),유니온블루,4.9,30000.0,5803,5219,4300.0
137,0.9695487886196933,N232UTS340 어반시티 아키텍쳐 세미 오버핏 반팔 티셔츠 2 CARBON BLACK,내셔널지오그래픽,0.0,0.0,13,0,0.0
138,0.9693265170037786,90S 트랙 스웨트셔츠_오트베이지,1993스튜디오,4.9,39000.0,3835,18,300.0
139,0.969104245387864,N232UTS340 어반시티 아키텍쳐 세미 오버핏 반팔 티셔츠 2 WHITE,내셔널지오그래픽,0.0,0.0,5,0,0.0
140,0.9688819737719493,어센틱 로고 후디 멜란지 그레이,커버낫,4.8,12000.0,51202,6497,6100.0
141,0.9686597021560347,90S 트랙 스웨트셔츠_네이비,1993스튜디오,4.8,44000.0,4058,30,400.0
142,0.96843743054012,오버사이즈 집업 카라 터틀넥 니트 [BLACK],드로우핏,4.9,23000.0,21541,4616,10000.0
143,0.9682151589242054,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 블랙 KJMT2369 / KJMT2400,제멋,4.8,37000.0,12348,1446,7700.0
144,0.9679928873082907,(23SS) [ONEMILE WEAR] SMALL ARCH CREWNECK NAVY,예일,4.9,22000.0,15894,2244,7200.0
145,0.9677706156923761,남성 스컬 프린트 반소매 티셔츠 - 화이트 / 688187QSZ6A900,알렉산더 맥퀸,0.0,0.0,9,0,0.0
146,0.9675483440764614,90S 트랙 스웨트셔츠_블랙,1993스튜디오,4.8,55000.0,34075,1030,5600.0
147,0.9673260724605468,코튼 워셔블 하찌 하프집업 니트_5 COLOR,키뮤어,4.8,86000.0,69272,12641,46000.0
148,0.9671038008446321,PHYPS® MONDAY ROUTINE STITCH HOODIE OATMEAL,피지컬 에듀케이션 디파트먼트,4.8,43000.0,24443,993,4600.0
149,0.9668815292287175,[패키지] 에센셜 레이어드 롱 슬리브 티셔츠,트릴리온,4.8,26000.0,17407,10951,12000.0
150,0.9666592576128028,TSHIRT FLOWERMARDI_IVORY NAVY,마르디 메크르디,4.9,21000.0,51755,6077,31000.0
151,0.9664369859968882,오버핏 아치 로고 스웨트 셔츠-그린,필루미네이트,4.9,54000.0,26469,3987,15000.0
152,0.9662147143809735,TAG HOODIE - BURGUNDY,브라운브레스,4.8,29000.0,12936,846,3800.0
153,0.9659924427650589,Total Logo Nylon Sweatshirt [LIGHT GREY],아조바이아조,4.8,7900.0,1125,13,100.0
154,0.9657701711491442,PHYPS® STAR TAIL LOGO HOODIE OATMEAL,피지컬 에듀케이션 디파트먼트,5.0,11000.0,2324,11,100.0
155,0.9655478995332296,베츠 어센틱 후드 그레이,이벳필드,4.8,27000.0,39692,4220,9000.0
156,0.9653256279173149,스트라이프 립 니트 후디_라이트 그레이,로맨틱크라운,4.8,7000.0,1112,13,100.0
157,0.9651033563014003,리그 후디 (블루),어반스터프,5.0,4600.0,678,4,50.0
158,0.9648810846854856,오버사이즈 스톤 워싱 데님 셔츠 블루,파르티멘토,4.8,30000.0,15386,3821,11000.0
159,0.964658813069571,TAG CROP HOODIE - CHARCOAL,브라운브레스,4.8,15000.0,3092,102,400.0
160,0.9644365414536563,레이어드 스트링 테잎 후드 [NAVY],드로우핏,4.8,25000.0,2942,81,900.0
161,0.9642142698377417,W SLIM FIT DENIM SHIRT light blue,마리떼,4.8,6700.0,753,5,50.0
162,0.963991998221827,세일러카라 크롭 블라우스 MIWBLD421G,미쏘,0.0,100.0,12,0,0.0
163,0.9637697266059124,미시간 울버린 피그먼트 반팔티 블랙 차콜,트래블,4.8,25000.0,80568,18726,55000.0
164,0.9635474549899978,HERITAGE UNIVERSITY DAN CABLE KNIT IVORY,예일,4.9,35000.0,19463,880,5200.0
165,0.9633251833740831,Basic T-Logo Hoodie Black,디스이즈네버댓,4.8,24000.0,3352,201,1400.0
166,0.9631029117581685,빅 트위치 로고 티셔츠 그린,리,4.8,19000.0,41815,5498,16000.0
167,0.9628806401422538,CGP 아치 로고 후디_멜란지그레이,코드그라피,4.8,19000.0,5601,372,1200.0
168,0.9626583685263392,LAUNDRY SHIRT (LEMON),유니온블루,4.9,31000.0,7039,6286,4900.0
169,0.9624360969104245,오버핏 아치 로고 스웨트 셔츠-크림,필루미네이트,4.8,19000.0,10076,923,5700.0
170,0.9622138252945099,벨라 스웻셔츠_NAVY,그로브,0.0,2200.0,197,0,50.0
171,0.9619915536785952,Martin Garden Half T - WHITE,마틴플랜,5.0,1200.0,159,2,50.0
172,0.9617692820626806,파라볼라 울 풀 오버_GR,코드,4.8,1600.0,565,59,100.0
173,0.9615470104467659,Arch Logo Hoodie Navy,예스아이씨,4.8,21000.0,47074,8226,5800.0
174,0.9613247388308513,[패키지] 더블 코튼 무지 긴팔티 2pack JHLT1273,페플,4.8,21000.0,15028,3984,10000.0
175,0.9611024672149366,나폴리 소프트 코튼 폴로 니트 소프트 베이지,세터,5.0,3000.0,228,1,50.0
176,0.960880195599022,솔리드 케이블 니트 풀오버 투웨이 집업 가디건 카라 자켓,플레이스 스튜디오,4.8,91000.0,12008,305,2100.0
177,0.9606579239831073,021541 레이어드 반팔 티셔츠(2pck),지오다노,4.8,22000.0,15298,15702,18000.0
178,0.9604356523671927,(23SS) (YALE HEAVYWEIGHT) MIXED HOODIE NAVY,예일,4.8,39000.0,55056,3860,19000.0
179,0.960213380751278,카라 케이블 니트 집업 네이비,굿라이프웍스,4.8,22000.0,8402,808,3800.0
180,0.9599911091353635,DIAGONAL STITCH KNIT - IVORY,엔오르,4.3,1000.0,179,3,0.0
181,0.9597688375194487,테니스 하프 집업 조거 세트-오트밀,슈퍼서브,4.8,32000.0,6137,377,1800.0
182,0.9595465659035342,1960 sweatshirts navy,유니폼브릿지,4.8,22000.0,45689,13412,7300.0
183,0.9593242942876195,RESEARCH HOODIE [KHAKI],비바스튜디오,4.8,40000.0,34971,1956,7500.0
184,0.9591020226717049,CGP 아치 로고 후디_멜란지그레이,코드그라피,4.8,19000.0,5602,372,1200.0
185,0.9588797510557902,콘트라스트 오픈칼라 스웨터 (멜란지크림),쿠어,5.0,15000.0,676,18,100.0
186,0.9586574794398756,커스텀핏 가먼트 다이 옥스포드 셔츠 - 오렌지,폴로 랄프 로렌,4.8,2300.0,235,4,50.0
187,0.9584352078239609,베츠 어센틱 맨투맨 블랙,이벳필드,4.8,26000.0,29042,5880,8300.0
