순위,상품명,브랜드,조회수,좋아요,구매후기 개수,평점,누적판매량
0.9724383196265837,올드스쿨 - (스웨이드) 마쉬멜로우:블랙 / VN0A7Q2JKIG1,반스,11000.0,4703,333,4.9,1200.0
0.9722160480106691,무스비 블랙,포즈간츠,11000.0,15606,1846,4.6,4600.0
0.9719937763947544,포럼 84 로우 - 화이트:블루 / H03721,아디다스,23000.0,4433,101,4.8,400.0
0.9717715047788398,올드스쿨 - (피그 스웨이드) 파리지엥 나이트:스노우 화이트 / VN0A38G19G51,반스,21000.0,5002,326,4.8,1500.0
0.9715492331629251,젤-NYC - 크림:스틸 그레이 / 1201A789-100,아식스,31000.0,667,66,4.9,100.0
0.9713269615470105,N235USN312 로카 WHITE,내셔널지오그래픽,7700.0,904,71,4.9,300.0
0.9711046899310958,컴피쿠시 원 - (체커보드) 레이싱 레드:마쉬멜로우 / VN0A45J5BOP1,반스,13000.0,2786,654,4.9,1800.0
0.9708824183151812,젤-님버스 9 - 화이트:레이크 드라이브 / 1201A424-101,아식스,21000.0,1196,147,4.9,300.0
0.9706601466992665,XT-6 - 레이니 데이:델리시오소:바이브런트 오렌지  / L41751400,살로몬 스포츠스타일,13000.0,1652,283,4.9,500.0
0.9704378750833519,포럼 로우 - 화이트 / FY7755,아디다스,10000.0,8280,677,4.8,1000.0
0.9702156034674372,척 70 빈티지 캔버스 핑크  172678C,컨버스,12000.0,6010,446,4.9,900.0
0.9699933318515226,올드스쿨 36 DX - (애너하임 팩토리) - 블랙:체크 / VN0A38G2OAK1,반스,14000.0,5464,1129,4.9,2100.0
0.9697710602356079,젤-1090 - 버치:버치 / 1203A159-200,아식스,16000.0,5288,1047,4.9,1200.0
0.9695487886196933,클래식 슬립온 - (컬러 띠어리) 체커보드 그리너 패스처 / VN0A7Q5D6QU1,반스,13000.0,1516,68,5.0,300.0
0.9693265170037786,클럽 C 85 - 화이트:블랙 / GZ1605,리복,15000.0,5950,533,4.9,1800.0
0.969104245387864,NBPDDS170G / ML725AA (GRAY),뉴발란스,23000.0,1337,6,5.0,100.0
0.9688819737719493,젤-1130 RE - 오이스터 그레이:퓨어 실버 / 1201A783-021,아식스,42000.0,1817,39,5.0,100.0
0.9686597021560347,스탠스미스 - 화이트:그린 / FX5502,아디다스,8200.0,4751,800,4.9,1100.0
0.96843743054012,멈멈 C.V 화이트,포즈간츠,12000.0,14230,1084,4.7,3300.0
0.9682151589242054,여성 오버사이즈 스니커즈 - 화이트:블랙 / 553770WHGP79061,알렉산더 맥퀸,6300.0,793,27,4.7,100.0
0.9679928873082907,젤-1130 - 화이트:버치 / 1202A163-100,아식스,24000.0,1791,80,5.0,300.0
0.9677706156923761,PEACE101 (IVORY),언다이드룸,12000.0,2460,126,4.9,400.0
0.9675483440764614,스펙터 104,프로스펙스,18000.0,510,105,4.8,300.0
0.9673260724605468,조그 100 S (2E) - 네이비:퓨어 실버 / 1201A325-400,아식스,22000.0,6034,1567,4.9,3000.0
0.9671038008446321,3300 하이 캔버스 FLOTDA0U06,오찌,6800.0,1508,36,4.9,200.0
0.9668815292287175,어센틱 플랫폼 2.0 - 블랙 / VN0A3AV8BLK1,반스,7400.0,13073,2911,4.9,4600.0
0.9666592576128028,캠퍼스 00s - 레드 / H03474,아디다스,21000.0,2733,43,4.9,100.0
0.9664369859968882,BW 아미 - 브라운 / GX4557,아디다스,11000.0,2485,291,4.9,900.0
0.9662147143809735,클래식 슬립온 - 블랙:블랙 / VN000EYEBKA1,반스,6100.0,9437,3791,4.8,3400.0
0.9659924427650589,BSR 런닝화 티바트2.0 올블랙,밸롭,6300.0,2171,598,4.8,1600.0
0.9657701711491442,리스폰스 CL - 화이트:베이지:블랙 / GX4594,아디다스,7500.0,1478,50,4.8,500.0
0.9655478995332296,오리지날 플러스 피크닉 _ 다크 그린,캐치볼,8300.0,6349,1407,4.9,1900.0
0.9653256279173149,캠퍼스 00s - 블루 / H03471,아디다스,23000.0,2601,18,4.9,100.0
0.9651033563014003,척 70 빈티지 캔버스 미드나잇네이비 172679C,컨버스,11000.0,16628,905,4.9,1800.0
0.9648810846854856,스탠스미스 x PARLEY - 화이트 / GX6969,아디다스,13000.0,1708,185,4.9,700.0
0.964658813069571,슈퍼스타 - 화이트:그린 / GZ3742,아디다스,9300.0,2273,91,4.8,300.0
0.9644365414536563,캠퍼스 00s - 옐로우 / H03473,아디다스,15000.0,1738,30,5.0,100.0
0.9642142698377417,척 70 빈티지 캔버스 울프그레이 170555C,컨버스,11000.0,30111,2058,4.9,3800.0
0.963991998221827,컴피쿠시 원 - (반다나) 블랙:마쉬멜로우 / VN0A45J51KP1,반스,20000.0,3659,1378,4.8,3600.0
0.9637697266059124,멕시코 66 VIN SD 1183C015_200,오니츠카타이거,9300.0,1502,78,4.9,200.0
0.9635474549899978,클래식 슬립온 - 블랙 / VN000EYEBLK1,반스,5000.0,10093,4750,4.8,2800.0
0.9633251833740831,NBP7DS123I / CM996BT (IVORY),뉴발란스,12000.0,5462,197,4.8,300.0
0.9631029117581685,NBPDCF008A / ML610TBC (BEIGE),뉴발란스,17000.0,4195,59,4.9,400.0
0.9628806401422538,젤-1130 코르크 - 버치:크림 / 1201A502-200,아식스,17000.0,7813,570,4.9,1500.0
0.9626583685263392,스탠스미스 - 화이트:네이비 / FX5501,아디다스,6600.0,4410,537,4.9,800.0
0.9624360969104245,오즈위고 - 화이트:블랙 / EE6464,아디다스,13000.0,16276,4578,4.9,3600.0
0.9622138252945099,NBP7DS137T / CM878EC1 (BEIGE),뉴발란스,9100.0,2168,86,4.8,300.0
0.9619915536785952,하이퍼터프 - 화이트 / HQ7071,아디다스,12000.0,1233,63,4.8,200.0
0.9617692820626806,척 70 빈티지 캔버스 화이트 162056C,컨버스,11000.0,25514,3422,4.9,2000.0
0.9615470104467659,조그 100 T W (2E) - 블랙 / 1022A335-001,아식스,15000.0,6645,2306,4.9,2400.0
0.9613247388308513,어센틱 - 화이트 / VN000EE3WHT1,반스,7400.0,25602,5992,4.9,4200.0
0.9611024672149366,척테일러 올스타 무브 블랙 568497C,컨버스,8000.0,22733,3309,4.9,3100.0
0.960880195599022,스타일 36 데콘 SF - (스웨이드/캔버스) 마쉬멜로우 / VN0A3MVL2261,반스,55000.0,32752,7259,4.9,28000.0
0.9606579239831073,포럼 로우 - 화이트:블랙 / FY7757,아디다스,10000.0,7665,909,4.8,1500.0
0.9604356523671927,독일군 스니커즈 [오프 화이트],무신사 스탠다드,7900.0,7974,2085,4.8,4100.0
0.960213380751278,플로트라이드 에너지 5 - 화이트:블루 / HR1520,리복,6000.0,160,16,4.9,100.0
0.9599911091353635,올드스쿨 - (껌)블랙:화이트 /  VN0001R1GI61,반스,8600.0,20931,7234,4.9,12000.0
0.9597688375194487,포럼 볼드 W - 화이트:블랙 / GY5921,아디다스,10000.0,5969,182,4.7,700.0
0.9595465659035342,클럽 C 85 - 화이트:그린 / AR0456,리복,7000.0,903,74,4.7,400.0
0.9593242942876195,ACS+ OG - 블랙:루나 락:알로이 / L47134500,살로몬 스포츠스타일,9600.0,722,59,4.8,100.0
0.9591020226717049,어센틱 44 DX - (애너하임 팩토리) 블랙/체크/ VN0A38ENOAK1,반스,12000.0,5820,1972,4.9,1200.0
0.9588797510557902,스타 플레이어 76 프리미엄 캔버스 블랙 A01607C,컨버스,10000.0,4373,225,4.9,700.0
0.9586574794398756,하이퍼터프 - 블랙:그레이 / GX2022,아디다스,11000.0,1195,61,4.7,200.0
0.9584352078239609,젤-1090 - 화이트:블랙 / 1021A285-100,아식스,12000.0,2614,1082,4.9,1300.0
0.9582129362080463,컴피쿠시 어센틱 - (클래식) 블랙:트루 화이트 / VN0A3WM7VNE1,반스,6500.0,4228,884,4.9,1900.0
0.9579906645921316,척 70 빈티지 캔버스 울프그레이 170552C,컨버스,10000.0,32090,2217,4.9,3400.0
0.957768392976217,NBP7DS106G / WL574EVG (WOMEN) (GRAY),뉴발란스,12000.0,4288,189,4.9,500.0
