,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
93,0.9793287397199377,여성용 소가죽 페니로퍼 HS-304_BLACK,하루타,3500.0,1676,180,4.8,300.0
94,0.9791064681040231,WTRD5205 제롬 스퀘어토 첼시부츠 블랙 [250~290MM],위더로드,4500.0,9455,1571,4.8,3100.0
95,0.9788841964881084,ORIGINAL RAIN BOOTS LONG - 8color,락피쉬웨더웨어,4800.0,772,29,4.9,100.0
96,0.9786619248721938,홀스하이드 우든 더비슈즈 베지터블 블랙 [VIBRAM],야세,4700.0,2055,276,4.9,400.0
97,0.9784396532562791,스페이스런 뮬,라이프워크,7500.0,3527,513,4.9,1300.0
98,0.9782173816403645,드로우핏 X 슈펜 스퀘어 첼시 HPMV9C402M,슈펜,5900.0,1210,80,4.8,400.0
99,0.9779951100244498,GRAB-ITY BALANCE™ PRO SLIDE-BLACK,골스튜디오,4400.0,2278,1018,4.8,1700.0
100,0.9777728384085352,아드리안 스무스 블랙 / 14573001,닥터마틴,3800.0,4151,876,4.8,400.0
101,0.9775505667926205,WTRD2205 밀러 스퀘어토 차이니즈 로퍼 블랙 [240~290MM],위더로드,6000.0,5339,972,4.9,2300.0
102,0.9773282951767059,폴리 스무스 블랙 14852001,닥터마틴,4300.0,2393,171,4.9,300.0
103,0.9771060235607912,투데이즈 더비 R21M046 (블랙),로맨틱무브,5000.0,6388,2317,4.8,1400.0
104,0.9768837519448766,2976 하이 W/집,닥터마틴,5500.0,2593,111,4.8,300.0
105,0.9766614803289619,NBRJDS201B / NB 쿠셔닝 슬라이드 SD1501BK3 (BLACK),뉴발란스,8300.0,2817,612,4.9,2200.0
106,0.9764392087130473,MF 2591 퍼시픽 소가죽 베이직 페니 로퍼 밴타블랙,마이애미프로젝트,7000.0,2185,339,4.8,1300.0
107,0.9762169370971326,BELLA MARYJANE FLAT - ALL BLACK,락피쉬웨더웨어,6700.0,5654,480,4.9,1600.0
108,0.975994665481218,스크런치 플랫 (사틴) - BLACK,락피쉬웨더웨어,5500.0,2470,258,4.9,700.0
109,0.9757723938653035,폴카1 패딩 방한 슬리퍼 블랙,23.65,6500.0,12832,1608,4.7,5700.0
110,0.9755501222493888,스크런치 플랫 (사틴) - WHITE,락피쉬웨더웨어,8800.0,1938,150,4.8,500.0
111,0.9753278506334742,[WOMEN] 오리지날 톨 레인부츠 - 블랙 WFT1000RMABLK,헌터,2600.0,3356,292,4.9,400.0
112,0.9751055790175595,1461 3홀 빈티지브라운 11838201,닥터마틴,4500.0,4182,827,4.8,600.0
113,0.9748833074016449,NBRJDS201A / NB 쿠셔닝 슬라이드 SD1501BE3 (BEIGE),뉴발란스,8000.0,1842,104,4.9,600.0
114,0.9746610357857302,4.5cm 소가죽 코만도 더비 구두 컴포트(CR0004),커스텀에이드,3200.0,4885,1745,4.8,1900.0
115,0.9744387641698156,밀로그 슈즈 [블랙],밀로,9600.0,1911,117,4.8,300.0
116,0.9742164925539009,취리히 SFB 타우페 1009532,버켄스탁,4300.0,8628,2735,4.8,2000.0
117,0.9739942209379863,1460 8홀 나파 블랙 무광 11822002,닥터마틴,4200.0,9142,1109,4.8,600.0
118,0.9737719493220716,1461 PW 블랙 스무스 10078001,닥터마틴,7800.0,1868,140,4.9,300.0
119,0.973549677706157,스퀘어 더비 슈즈 [블랙],무신사 스탠다드,3700.0,3061,592,4.8,1200.0
120,0.9733274060902423,플립플랍 ZEROVITY BIO 블랙,토앤토,5500.0,33446,13408,4.8,33000.0
121,0.9731051344743277,나틸라 블랙 샌들 24641001,닥터마틴,3800.0,17902,2081,4.8,3900.0
122,0.972882862858413,1B60 버지니아 블랙 / 23889001,닥터마틴,3200.0,6129,764,4.9,800.0
123,0.9726605912424984,1490 10홀 블랙 버지니아 / 22524001,닥터마틴,3700.0,10000,1471,4.9,800.0
124,0.9724383196265837,플리츠 더비 R22M024 (FG 아이보리),로맨틱무브,3600.0,2084,210,4.9,400.0
125,0.9722160480106691,탈란 레더 첼시 부츠 - 브라운,폴로 랄프 로렌,4400.0,198,15,4.5,50.0
126,0.9719937763947544,[깡스타일리스트X슈펜] 클래식 레더더비 블랙 BYSC79A02,슈펜,5800.0,4584,1481,4.6,1400.0
127,0.9717715047788398,샨티 슬라이드 Black,킨,7800.0,4420,780,4.9,1400.0
