순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
3400위,[SET] (긴바지 OR 반바지 선택) CGP 심플 로고 피그먼트 트레이닝 셋업_차콜,코드그라피,https://www.musinsa.com/app/goods/3011214?loc=goods_rank,4.8천 회 이상,702,후기 15개 보기,4.9,100개 이상
3401위,Coloring Vivacious T-shirt BLACK,어반드레스,https://www.musinsa.com/app/goods/2624219?loc=goods_rank,,121,후기 3개 보기,5,50개 미만
3402위,오버사이즈 벌룬핏 와플 셔츠 GREY,인사일런스,https://www.musinsa.com/app/goods/3114465?loc=goods_rank,1.4천 회 이상,56,후기 1개 보기,4,
3403위,플레임 피그먼트 다잉 후디 퍼플,트레셔,https://www.musinsa.com/app/goods/3103794?loc=goods_rank,2.1천 회 이상,183,후기 4개 보기,5,50개 미만
3404위,버블 로고 후디 (블루),어반스터프,https://www.musinsa.com/app/goods/3065389?loc=goods_rank,6.6천 회 이상,988,후기 5개 보기,5,100개 이상
3405위,빈티지 오토 리페어 샵 맨투맨 - 터쿼이즈,배드블러드,https://www.musinsa.com/app/goods/2994170?loc=goods_rank,3천 회 이상,"1,870",후기 15개 보기,4.9,50개 이상
3406위,남 블랙 슬림핏 폴로 반팔 티셔츠 J324245 BEH,캘빈클라인 진,https://www.musinsa.com/app/goods/3061645?loc=goods_rank,1.1천 회 이상,179,후기 1개 보기,4,50개 미만
3407위,엠보 코튼 오픈칼라 셔츠 BLACK,인사일런스,https://www.musinsa.com/app/goods/3136285?loc=goods_rank,,0,후기 0개,평점 0점,
3408위,우먼즈 퍼지 크루 넥 니트 [크림],무신사 스탠다드,https://www.musinsa.com/app/goods/2100508?loc=goods_rank,3.3천 회 이상,"3,918",후기 324개 보기,4.8,500개 이상
3409위,스트라이프 크래프트 플리츠 셔츠 (블루),쿠어,https://www.musinsa.com/app/goods/3082760?loc=goods_rank,1.1만 회 이상,521,후기 14개 보기,4.9,50개 이상
3410위,[SET] (긴바지 OR 반바지 선택) CGP 헤리티지 럭비 맨투맨 셋업_네이비,코드그라피,https://www.musinsa.com/app/goods/2285969?loc=goods_rank,5.8천 회 이상,"8,095",후기 551개 보기,4.8,1.2천 개 이상
3411위,SIGNATURE HOODIE [OATMEAL],오아이오아이,https://www.musinsa.com/app/goods/2715908?loc=goods_rank,3.8천 회 이상,"5,446",후기 268개 보기,4.9,1.2천 개 이상
3412위,에센셜 오버핏 반집업 맨투맨 (black),피아네르,https://www.musinsa.com/app/goods/2721506?loc=goods_rank,7천 회 이상,"1,092",후기 182개 보기,4.8,800개 이상
3413위,케이블 니트 코튼 숏 슬리브 스웨터 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/3010415?loc=goods_rank,3천 회 이상,282,후기 4개 보기,5,50개 미만
3414위,케이블 울 캐시미어 숏 슬리브 스웨터 - 베이지,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2683904?loc=goods_rank,2.4천 회 이상,"1,828",후기 122개 보기,4.9,300개 이상
3415위,커스텀 슬림핏 메시 폴로 셔츠 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2461370?loc=goods_rank,1000회 이상,115,후기 18개 보기,5,50개 이상
3416위,스트라이프 립 니트 후디_라이트 그레이,로맨틱크라운,https://www.musinsa.com/app/goods/3035505?loc=goods_rank,7.6천 회 이상,"1,176",후기 14개 보기,4.9,100개 이상
3417위,플래그 저지 그래픽 티셔츠 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1793956?loc=goods_rank,300회 이상,52,후기 0개,평점 0점,
3418위,피셔맨 긴팔 카라 니트 - 에크루,건지 울른스,https://www.musinsa.com/app/goods/3123618?loc=goods_rank,1.3천 회 이상,65,후기 7개 보기,5,50개 미만
3419위,023515 언브러시드 테리 하프 집업 풀오버_4color,지오다노,https://www.musinsa.com/app/goods/3035466?loc=goods_rank,1.5천 회 이상,138,후기 10개 보기,4.9,50개 이상
3420위,슬림핏 메시 폴로 셔츠 - 그린,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1848814?loc=goods_rank,400회 이상,142,후기 13개 보기,5,50개 미만
